episodio,recompensa_total,pasos,terminado_por_muerte,recompensa_final_ajustada
22,1673.449999999888,5084,True,1673.449999999888,False
23,2342.0000000000123,2773,True,2342.0000000000123,False
24,1706.5999999999474,1848,True,1706.5999999999474,False
25,1351.849999999965,1637,True,1351.849999999965,False
26,1359.8999999998957,5750,True,1359.8999999998957,False
27,1676.0999999998817,4359,True,1676.0999999998817,False
28,1241.7499999999727,1351,True,1241.7499999999727,False
29,337.49999999999744,929,True,337.49999999999744,False
30,1155.7999999999543,2073,True,1155.7999999999543,False
31,1757.0999999999267,2905,True,1757.0999999999267,False
32,1216.5499999999206,2417,True,1216.5499999999206,False
33,2214.200000000007,2101,True,2214.200000000007,False
34,1775.5999999999467,1911,True,1775.5999999999467,False
35,1911.4999999999511,1914,True,1911.4999999999511,False
36,1212.2499999999543,1662,True,1212.2499999999543,False
37,1037.2999999999465,2307,True,1037.2999999999465,False
38,1303.2999999999342,2251,True,1303.2999999999342,False
39,1771.0999999999367,1947,True,1771.0999999999367,False
40,2513.900000000056,2485,True,2513.900000000056,False
41,1642.1499999999437,1670,True,1642.1499999999437,False
42,872.999999999912,4726,True,872.999999999912,False
43,1629.199999999942,3018,True,1629.199999999942,False
44,752.6999999999605,1545,True,752.6999999999605,False
45,1364.5999999999285,2783,True,1364.5999999999285,False
46,1376.2499999999523,1486,True,1376.2499999999523,False
47,1748.6499999999091,2917,True,1748.6499999999091,False
48,1180.7499999999527,2421,True,1180.7499999999527,False
49,1978.4000000001322,7013,True,1978.4000000001322,False
50,1971.0499999999888,2525,True,1971.0499999999888,False
51,2624.4500000001226,3074,True,2624.4500000001226,False
52,1875.299999999944,2512,True,1875.299999999944,False
53,1782.74999999993,2472,True,1782.74999999993,False
54,1579.7999999999372,2117,True,1579.7999999999372,False
55,2467.5500000000234,3806,True,2467.5500000000234,False
56,1434.0499999999884,11039,True,1434.0499999999884,False
57,1247.6999999998905,4323,True,1247.6999999998905,False
58,2113.9499999999794,2992,True,2113.9499999999794,False
59,1591.3499999999299,2346,True,1591.3499999999299,False
60,1936.599999999931,3358,True,1936.599999999931,False
61,1480.0499999999558,1579,True,1480.0499999999558,False
62,1126.2499999999416,2041,True,1126.2499999999416,False
63,1196.5499999999558,2579,True,1196.5499999999558,False
64,1786.899999999942,2278,True,1786.899999999942,False
65,1185.0499999999656,1279,True,1185.0499999999656,False
66,2071.9999999999627,3798,True,2071.9999999999627,False
67,1332.5499999999645,1244,True,1332.5499999999645,False
68,994.9499999999437,1953,True,994.9499999999437,False
69,904.2499999999357,2801,True,904.2499999999357,False
70,1253.599999999959,1305,True,1253.599999999959,False
71,1508.6499999999235,2793,True,1508.6499999999235,False
72,772.6499999999876,1221,True,772.6499999999876,False
73,1945.1999999999236,7514,True,1945.1999999999236,False
74,2039.4499999999296,5186,True,2039.4499999999296,False
75,552.3499999999499,5325,True,552.3499999999499,False
1,1616.899999999938,2864,True,1616.899999999938,False
2,1829.5999999999021,4038,True,1829.5999999999021,False
3,1096.2499999998709,5968,True,1096.2499999998709,False
4,1173.0999999999522,2581,True,1173.0999999999522,False
5,1639.7499999999343,4796,True,1639.7499999999343,False
1,1481.7999999999515,2437,True,1481.7999999999515,False
2,1593.8499999999428,2149,True,1593.8499999999428,False
1,1224.5999999999613,2169,True,1224.5999999999613,False
1,1901.8999999999644,2556,True,1901.8999999999644,False
2,4058.9500000002945,4201,True,4058.9500000002945,False
3,1709.1999999999557,1603,True,1709.1999999999557,False
1,2717.3000000000698,2756,True,2717.3000000000698,False
1,-582.0499999999709,10897,True,-582.0499999999709,False
2,321.09999999999957,839,True,321.09999999999957,False
3,562.3999999999812,2027,True,562.3999999999812,False
4,190.15000000000424,1009,True,190.15000000000424,False
5,182.9500000000064,975,True,182.9500000000064,False
6,530.8499999999785,7847,True,530.8499999999785,False
7,-137.9999999999854,10496,True,-137.9999999999854,False
8,1053.8499999999472,2983,True,1053.8499999999472,False
9,415.29999999989906,11175,True,415.29999999989906,False
10,367.09999999999076,769,True,367.09999999999076,False
11,405.8000000000051,4429,True,405.8000000000051,False
12,95.5499999999576,10343,True,95.5499999999576,False
13,-600.4999999999317,19570,True,-600.4999999999317,False
14,611.7,2367,True,611.7,False
15,1035.3999999999423,2915,True,1035.3999999999423,False
16,557.2000000000035,4323,True,557.2000000000035,False
17,16.449999999983334,13640,True,16.449999999983334,False
18,736.1999999997042,12517,True,736.1999999997042,False
19,462.79999999968027,13890,True,462.79999999968027,False
20,858.049999999901,5343,True,858.049999999901,False
21,-205.45000000020815,23952,True,-205.45000000020815,False
22,160.65000000004562,15317,True,160.65000000004562,False
23,613.3999999999523,12750,True,613.3999999999523,False
24,128.5499999997199,20607,True,128.5499999997199,False
25,868.6999999997236,11706,True,868.6999999997236,False
26,1397.449999999847,7410,True,1397.449999999847,False
27,694.6499999999917,4597,True,694.6499999999917,False
28,391.299999999896,13828,True,391.299999999896,False
29,1946.2999999998772,6341,True,1946.2999999998772,False
30,1112.8999999999126,3427,True,1112.8999999999126,False
31,1328.349999999874,7571,True,1328.349999999874,False
32,1329.5499999997837,10741,True,1329.5499999997837,False
33,2045.699999999956,4702,True,2045.699999999956,False
34,1738.399999999832,10322,True,1738.399999999832,False
35,643.4499999999821,8246,True,643.4499999999821,False
36,426.90000000003175,6557,True,426.90000000003175,False
37,1431.1999999999127,8861,True,1431.1999999999127,False
38,2039.3000000000281,4138,True,2039.3000000000281,False
39,1197.699999999876,4600,True,1197.699999999876,False
40,863.6499999998871,6444,True,863.6499999998871,False
41,947.0999999999656,2786,True,947.0999999999656,False
42,1501.4499999998634,5820,True,1501.4499999998634,False
43,1031.2499999999561,3416,True,1031.2499999999561,False
44,1254.7499999999586,7031,True,1254.7499999999586,False
45,1195.2999999999358,2863,True,1195.2999999999358,False
46,1294.3999999999296,6241,True,1294.3999999999296,False
47,423.84999999991055,13271,True,423.84999999991055,False
48,128.84999999996552,10806,True,128.84999999996552,False
49,1143.0499999998276,9032,True,1143.0499999998276,False
50,743.5999999997675,10068,True,743.5999999997675,False
51,1363.3499999999535,6193,True,1363.3499999999535,False
52,2236.1000000001286,4954,True,2236.1000000001286,False
